id	owner_id	quote	timestamp
1	1	{"name":"Shakespeare","quote":"If music be the food of love, play on."}	1351413690
3	1	{"name":"Eve Marie Carson","quote":"Study hard and work hard, play hard, keep an open mind, take pride in yourself, in your school, in what you produce, and the way you help others, if you make mistakes make sure you learn from them and never give up, stay strong to the finish."}	1351414059
11	1	{"name":"Petr Mitrichev","quote":"Once you find programming is no fun anymore \\u2013 drop it. Play soccer, find a girlfriend, study something not related to programming, just live a life \\u2013 programming contests are only programming contests, and nothing more. Don\\u2019t let them become your life \\u2013 for your life is much more interesting and colorful."}	1364192466
12	1	{"name":"Walker Percy","quote":"Why is Self the only Object in the cosmos which gets bored? Social life is disappointing. The very franticness of attempts to reestablish community and festival, by partying, by groups, by club, by touristy Mardi Gras, is the best evidence of the loss of true community and festival and of the loneliness of self, stranded as it is as an unspeakable consciousness in a world from which it perceives itself as somehow estranged, stranded even within its own body, with which it sees no clear connection. The very word boredom does not exist in any premodern language, it did not enter the language until the eighteenth century. No one knows its etymology."}	1364192568
13	1	{"name":"Walker Percy","quote":"The typical 4-year-old tends to be rather a joy. His enthusiasm, his exuberance, his willingness to go more than halfway to meet others in a spirit of fun are all refreshing... He is basically highly positive, enthusiastic, appreciative. This makes him fun to be with, an engaging, amusing, ever-challenging friend. Fours enjoy each other, they appreciate the challenge that other children offer. This is an age at which children interest and admire each other most... The four year old is a concelebrant of the world and even of his own peers.\\n\\nThe seven-year-old? Something has happened in the interval. More aware of and withdrawn into self... Seems to be in 'another world'... Self-conscious about own body. Sensitive about exposing body. Does not like to be touched. Modest about toileting... Protects self by withdrawal. May be unwilling to expose knowledge, for fear of being laughed at or criticized... Apt to expect too much of self."}	1364192578
14	1	{"name":"Greg Melander","quote":"A simple mistake can tell me what you aren't. Or remind me why I love you."}	1364192680
15	1	{"name":"Dr. Seuss","quote":"Be Who You Are and Say What You Feel Because Those Who Mind Don't Matter and Those Who Matter Don't Mind."}	1364246957
16	1	{"name":"Winston Churchill","quote":"Never give up on something that you can't go a day without thinking about."}	1364248387
17	1	{"name":"Dr. Wayne Dyer","quote":"Lose the need to feel understood."}	1364278000
18	1	{"name":"Richard La Ruina (Gambler)","quote":"My confidence was already boosted from all the pickup artist theory now stored in my head. I felt I had a secret weapon I could deploy with devastating results. And why not? It had a 100 percent success rate so far. Other guys didn\\u2019t know this stuff. They were idiots!"}	1364278415
19	1	{"name":"Richard La Ruina (Gambler)","quote":"I wanted more. I wanted to be the coolest guy in the room, the guy that gets the girl and also has of bunch of cool friends and a social life. Bottom line: I wanted it all. I wanted to be the real deal."}	1364278509
20	1	{"name":"Richard La Ruina (Gambler)","quote":"I realized that women like men to lead; asking a woman if she wants to kiss, or waiting ages to do it, is just unattractive."}	1364278767
21	1	{"name":"Richard La Ruina (Gambler)","quote":"The next milestone happened one night when I was at a trendy dance club. The friend I was with identified a hot girl. She was tall, blond, and thin, with blue eyes--just my type. I went over and sat down next to her and started chatting away. After some teasing banter to challenge her, I lightly touched her leg and arm, and she reciprocated. I went for the kiss after about five minutes. Then I led her around the club: \\u201cLet\\u2019s go get a drink\\u201d became \\u201cLet\\u2019s dance,\\u201d which then became \\u201cLet\\u2019s sit down.\\u201d We got quite hot and heavy on the sidelines, and then I just got up, took her hand, and said, \\u201cLet\\u2019s go.\\u201d She walked with me, asking only, \\u201cWhere?\\u201d I said, \\u201cSomewhere else,\\u201d and led her out of the club and over to my place."}	1364278826
22	1	{"name":"Richard La Ruina (Gambler)","quote":"An attractive man is one who has a strong sense of self: a man who likes himself, trusts himself, and is confident in his own ability to act effectively in the world. At the room of his psychology is a strong set of beliefs--about himself, about how other people should treat him, and about what he is entitled to. These beliefs empower him to behave in an attractive manner and get what he wants in life. This includes women."}	1364278838
23	1	{"name":"Richard La Ruina (Gambler)","quote":"Women will pick up on your behavior, determine that you are a man with a strong sense of self, and thus begin to feel attraction for you."}	1364278860
24	1	{"name":"Richard La Ruina (Gambler)","quote":"Most guys fidget. They\\u2019re nervous, and it shows. Their weight shifts from leg to leg. When they\\u2019re out at a bar, they hold their drinks up close to their chest and frequently take sips. They don\\u2019t take up much physical space, literally. And that\\u2019s when they\\u2019re by themselves. When they talk to women and other men, it gets worse: they\\u2019re afraid to touch, gesture, or show much expression--on top of the nervous movements already described. All of these are nonverbal signs of low status."}	1364278894
25	1	{"name":"Richard La Ruina (Gambler)","quote":"There is a little loophole in human psychology: whoever is most certain wins. In other words, when multiple people have multiple ideas or viewpoints, the person who believes most certainly that he or she is correct will generally win out and influence others. Those who have relatively little in the way of an opinion will look to the person who is most certain to make decisions for them. Just realizing this one simple fact makes a world of difference. Approach the world with the idea that \\u201cwhoever is most certain wins,\\u201d and you will find that you get very different results."}	1364278914
26	1	{"name":"Richard La Ruina (Gambler)","quote":"Just as you must hold your power with the men around you, you must exercise it when in the presence of women as well. The more beautiful the woman, the more she\\u2019s used to being given all the status. A deferential man will ask her to make decisions on everything, from whether it\\u2019s okay to take her phone number and when she\\u2019s available to meet, to where she would like to go, whether his clothes are okay, and if the food at a proposed restaurant is good. This is actually unattractive. It\\u2019s so common for men to give away all their power like this that the rare man who doesn\\\\'t is prized."}	1364278929
27	1	{"name":"Richard La Ruina (Gambler)","quote":"The primary component of social intelligence is the ability to connect and communicate with others--in other words, basic social skills. A socially intelligent man knows how others around him feel at all times. He understands the status hierarchies, the power dynamics, and the difference between cool and uncool."}	1364278932
28	1	{"name":"Nancy Friday","quote":"Traditionally, women wait to be asked, or acted upon. To reach out for the man you want is to be aggressive, and to reach out for the way you want him in bed isn\\\\'t just aggressive, it\\u2019s unfeminine."}	1364279005
29	1	{"name":"Neil Strauss (Style)","quote":"To get a woman, you have to be willing to risk losing her."}	1364279027
30	1	{"name":"Neil Strauss (Style)","quote":"You may have missed your window because now she\\\\'s with a guy. But go and approach her anyway. It\\\\'s a two set."}	1364279122
31	1	{"name":"Neil Strauss (Style)","quote":"Don\\\\'t even think about it and just do it. If you don\\\\'t, you\\\\'ll be regretting it the rest of the weekend."}	1364279161
32	1	{"name":"Neil Strauss (Style)","quote":"Attraction is not an option."}	1364279173
33	1	{"name":"Neil Strauss (Style)","quote":"It\\u2019s not lying, it\\u2019s flirting."}	1364279183
34	1	{"name":"Neil Strauss (Style)","quote":"We have this idea that love is supposed to last forever. But love isn\\\\'t like that. It\\\\'s a free-flowing energy that comes and goes when it pleases. Sometimes, it stays for life; other times it stays for a second, a day, a month or a year. So don\\\\'t fear love when it comes simply because it makes you vulnerable. But don\\\\'t be surprised when it leaves either. Just be glad you had the opportunity to experience it."}	1364279198
